V,E,A,FB,NER,MB,RHO,SVD,MSE
10,8,-2.030468762799367,3.2466357085369797,0.1864406779661017,5,1.6810643079904715,1.6810643079904182,0.0
10,8,-0.968146986830867,3.089591597655464,0.1320754716981132,5,0.587926353440615,0.587926353440615,0.008097165991902834
10,8,-0.9019567297017106,4.147111869958789,0.14516129032258066,5,0.7681172862943484,0.76811728629432,0.006535947712418301
10,8,-1.4221440696007389e-15,2.4759895442785793,0.05660377358490566,3,0.0,0.0,0.0
10,8,2.0631761848443668e-17,2.6508706864389744,1.0,0,0.0,0.0,0.0
10,7,-1.852215502210682e-16,2.079869300709995,0.0,0,0.0,0.0,0.0
10,7,-2.7476535690234587e-17,1.6549750942757482,0.9555555555555556,2,0.0,0.0,0.0
10,7,-1.5392318188166996,2.2603669034723297,0.813953488372093,5,2.284175763021768,2.2841757630217554,0.012269938650306749
10,7,-1.190450418155025,1.6860389292503692,0.7857142857142857,4,1.6447839231657895,1.6447839231658286,0.022988505747126436
10,7,-0.25057169152322645,3.442739980269737,0.6909090909090909,6,4.161857758495255,4.161857758495248,0.009478672985781991
10,7,-0.4411170841839576,1.6048710450082946,0.7435897435897436,5,1.2453014673834595,1.245301467383431,0.017094017094017096
10,7,-1.6777778331164932,2.1812088999624515,0.7111111111111111,4,2.8146436136782,2.814643613678209,0.013245033112582781
10,7,-0.3162192381395859,0.6683998303496183,0.7647058823529411,3,0.46647759343208683,0.4664775934320353,0.05357142857142857
10,7,-0.5056234985966089,0.8590041464503535,0.7096774193548387,4,0.7458560097264257,0.7458560097264062,0.018691588785046728
10,7,-0.7322854393422767,2.112162991117226,0.5,4,2.2275299068371694,2.2275299068371446,0.022727272727272728
10,7,-0.9149096106348894,1.4039828573747117,0.525,4,0.8462670055907999,0.8462670055907893,0.029850746268656716
10,7,-1.0164357435761866,1.691484672963902,0.4186046511627907,4,1.1845595078003122,1.1845595078003104,0.052980132450331126
10,7,-0.5822237481904584,2.2924106153411354e-16,0.13793103448275862,3,0.8245597734190415,0.8245597734189936,0.01904761904761905
10,7,-0.2919398027681429,1.8239976239651459,0.45652173913043476,5,0.3160929382373574,0.3160929382373894,0.012048192771084338
10,7,-0.6599607297818031,1.8283290628505648,0.24489795918367346,4,0.43925197994723675,0.43925197994722964,0.0
10,7,-0.7632687089815392,1.3298551730894697,0.21052631578947367,5,2.205023228267377,2.2050232282673985,0.06338028169014084
10,7,-0.8811125244086756,1.3928671953818954,0.19444444444444445,4,1.1167935094801305,1.1167935094800931,0.045454545454545456
10,7,-0.5180935386803045,1.6191065719223037,0.19047619047619047,4,1.3956449353078035,1.3956449353077822,0.023529411764705882
10,7,-0.23397195497722167,0.8630813582948009,0.0975609756097561,3,0.21114483347828994,0.21114483347826507,0.031088082901554404
10,7,-0.44254884669208294,2.6742179590285695,0.06382978723404255,3,0.22987630425588534,0.2298763042558427,0.0
10,7,-2.5347568267864176e-16,0.6865339538490562,1.0,0,0.0,0.0,0.0
10,5,-3.4441662984795347e-16,0.8318110130811402,0.0,0,0.0,0.0,0.0
10,5,-1.5313281798850268e-18,1.2913519340395991,0.9655172413793104,1,0.0,0.0,0.0
10,5,-0.08783158065058759,1.4999059974296227,0.90625,2,0.10075899835099733,0.10075899835098667,0.011494252873563218
10,5,-0.7009971237700112,0.66343128278035,0.7857142857142857,3,1.4824415860857076,1.482441586085697,0.07272727272727272
10,5,-0.9697212242441454,0.8218349038155088,0.7419354838709677,3,0.6450590512522876,0.6450590512522503,0.044444444444444446
10,5,-0.3023433968718403,0.0,0.8,3,0.24082948353017564,0.24082948353016498,0.0196078431372549
10,5,-0.08932195417800423,1.488168589230913,0.75,2,0.575882953473041,0.5758829534730019,0.012345679012345678
10,5,-0.5024063322309226,0.9593165556214719,0.6666666666666666,3,1.1135804919912324,1.1135804919912218,0.05
10,5,-1.0078752581950179,0.6940830151545151,0.52,2,0.4042730590575623,0.4042730590575552,0.034782608695652174
10,5,-0.9838998349033241,1.8755861585435465,0.5365853658536586,4,4.527611915286652,4.52761191528665,0.025477707006369428
10,5,-0.9939486014950851,1.4945493748964358,0.59375,3,2.376739177590295,2.3767391775902755,0.04477611940298507
10,5,-0.5456720580212122,0.8621303732623127,0.5483870967741935,3,1.336147352386039,1.3361473523860088,0.10071942446043165
10,5,-0.8997073276098123,2.5058507479063747,0.3684210526315789,4,2.750538445820043,2.750538445820041,0.03896103896103896
10,5,-1.654270290755361,1.8368900154573828,0.2972972972972973,3,1.1361828283457953,1.136182828345781,0.011428571428571429
10,5,-0.9031435151055739,2.5462880209200534,0.425,4,3.1354650924428853,3.135465092442912,0.05194805194805195
10,5,-0.7972810393487161,1.8319058170619598,0.2,3,1.1310254978000884,1.1310254978000849,0.025806451612903226
10,5,-0.6511495650053399,1.949245008979121,0.2777777777777778,3,0.8376707931931797,0.8376707931931513,0.03614457831325301
